country,sex,measure,model,year,projection,PI_lower,PI_upper
China,Both,ASIR,APC,2041,1019.4955115284672,1000.629217903066,1038.7175183679058
China,Both,ASIR,APC,2042,1022.967698891646,1004.0371506367978,1042.2551718449497
China,Both,ASIR,APC,2043,1026.4820256911041,1007.4864429946674,1045.835759273328
China,Both,ASIR,APC,2044,1030.0388446253432,1010.9774411483078,1049.4596400014716
China,Both,ASIR,APC,2045,1033.6385133809986,1014.5104961651772,1053.1271784599933
China,Both,ASIR,APC,2046,1037.281394692437,1018.0859640670549,1056.8387442224096
China,Both,ASIR,APC,2047,1040.967856402322,1021.7042058894847,1060.5947120668477
China,Both,ASIR,APC,2048,1044.69827152317,1025.365587742193,1064.3954620387628
China,Both,ASIR,APC,2049,1048.4730182998364,1029.070480870418,1068.2413795146012
China,Both,ASIR,APC,2050,1052.2924802730608,1032.819261717278,1072.1328552665448
China,Both,ASIR,APC,2051,1056.1570463439605,1036.6123119870742,1076.0702855282193
China,Both,ASIR,APC,2052,1060.0671108396143,1040.450018709658,1080.0540720615165
China,Both,ASIR,APC,2053,1064.0230735796351,1044.3327743057723,1084.08462222442
China,Both,ASDR,ARIMA,2024,395.91053503710344,394.1357666822971,397.68530339190977
China,Both,ASDR,ARIMA,2025,391.8020841724098,386.2395388666548,397.36462947816483
China,Both,ASDR,ARIMA,2026,387.6936333077162,377.30935394010805,398.07791267532434
China,Both,ASDR,ARIMA,2027,383.5851824430226,367.5140660810657,399.65629880497943
China,Both,ASDR,ARIMA,2028,379.47673157832895,356.9658138944113,401.9876492622466
China,Both,ASDR,ARIMA,2029,375.36828071363533,345.74274958201374,404.9938118452569
China,Both,ASDR,ARIMA,2030,371.2598298489417,333.9030398907064,408.616619807177
China,Both,ASDR,ARIMA,2031,367.1513789842481,321.4920827378134,412.81067523068276
China,Both,ASDR,ARIMA,2032,363.04292811955446,308.54656343963234,417.5392927994766
China,Both,ASDR,ARIMA,2033,358.93447725486084,295.09691793360923,422.77203657611244
China,Both,ASDR,ARIMA,2034,354.8260263901672,281.16892273200057,428.48313004833386
China,Both,ASDR,ARIMA,2035,350.7175755254736,266.7847719486699,434.65037910227727
China,Both,ASDR,ARIMA,2036,346.60912466077997,251.96383578573884,441.2544135358211
China,Both,ASDR,ARIMA,2037,342.50067379608635,236.7232119975945,448.2781355945782
China,Both,ASDR,ARIMA,2038,338.3922229313927,221.07813764567334,455.7063082171121
China,Both,ASDR,ARIMA,2039,334.2837720666991,205.04230353894926,463.525240594449
China,Both,ASDR,ARIMA,2040,330.1753212020055,188.62809903861293,471.722543365398
China,Both,ASDR,ARIMA,2041,326.06687033731185,171.84680586253648,480.2869348120872
China,Both,ASDR,ARIMA,2042,321.95841947261823,154.70875377552025,489.20808516971624
China,Both,ASDR,ARIMA,2043,317.8499686079246,137.22344728554867,498.47648993030054
China,Both,ASDR,ARIMA,2044,313.741517743231,119.39966993482031,508.0833655516417
China,Both,ASDR,ARIMA,2045,309.63306687853736,101.24557103300049,518.0205627240742
China,Both,ASDR,ARIMA,2046,305.52461601384374,82.76873845756057,528.280493570127
China,Both,ASDR,ARIMA,2047,301.4161651491501,63.976260271801436,538.8560700264989
China,Both,ASDR,ARIMA,2048,297.3077142844565,44.874777275543494,549.7406512933695
China,Both,ASDR,ARIMA,2049,293.1992634197629,25.47052813439484,560.9279987051309
China,Both,ASDR,ARIMA,2050,289.09081255506925,5.769388382587579,572.4122367275509
China,Both,ASDR,ARIMA,2051,284.9823616903756,-14.223095671444923,584.1878190521961
China,Both,ASDR,ARIMA,2052,280.873910825682,-34.501677311240655,596.2494989626047
China,Both,ASDR,ARIMA,2053,276.7654599609884,-55.06138338242289,608.5923033043996
China,Both,ASDR,ETS,2024,397.28972583487456,394.8518916691302,399.7275600006189
China,Both,ASDR,ETS,2025,394.5602322771454,391.11261413713333,398.0078504171575
China,Both,ASDR,ETS,2026,391.8307387194163,387.60828608391984,396.0531913549127
China,Both,ASDR,ETS,2027,389.10124516168713,384.2255768301985,393.97691349317574
China,Both,ASDR,ETS,2028,386.371751603958,380.92058869148224,391.82291451643374
China,Both,ASDR,ETS,2029,383.64225804622885,377.6708082626318,389.6137078298259
China,Both,ASDR,ETS,2030,380.9127644884997,374.46286154832364,387.36266742867576
China,Both,ASDR,ETS,2031,378.18327093077056,371.28803465074634,385.0785072107948
